10090.ENSMUSP00000036596 9606.ENSP00000313110
10090.ENSMUSP00000137298 9606.ENSP00000406052
10090.ENSMUSP00000005954 9606.ENSP00000220531
10090.ENSMUSP00000075884 9606.ENSP00000222002
10090.ENSMUSP00000092839 9606.ENSP00000405635
10090.ENSMUSP00000100532 9606.ENSP00000329647
10090.ENSMUSP00000100533 9606.ENSP00000411198
10090.ENSMUSP00000100534 9606.ENSP00000360365
10090.ENSMUSP00000073285 9606.ENSP00000366702
10090.ENSMUSP00000100536 9606.ENSP00000375430
10090.ENSMUSP00000100538 9606.ENSP00000362820
10090.ENSMUSP00000100539 9606.ENSP00000480573
10090.ENSMUSP00000031646 9606.ENSP00000241463
10090.ENSMUSP00000140808 9606.ENSP00000356599
10090.ENSMUSP00000140809 9606.ENSP00000326381
10090.ENSMUSP00000136335 9606.ENSP00000331209
10090.ENSMUSP00000140805 9606.ENSP00000481928 9606.ENSP00000276704
10090.ENSMUSP00000131631 9606.ENSP00000375855
10090.ENSMUSP00000140807 9606.ENSP00000236918
10090.ENSMUSP00000140800 9606.ENSP00000484656
10090.ENSMUSP00000140801 9606.ENSP00000356205
10090.ENSMUSP00000131635 9606.ENSP00000471457
10090.ENSMUSP00000131634 9606.ENSP00000348054
10090.ENSMUSP00000099777 9606.ENSP00000411593
10090.ENSMUSP00000099776 9606.ENSP00000348278
10090.ENSMUSP00000099772 9606.ENSP00000285873
10090.ENSMUSP00000099771 9606.ENSP00000263817
10090.ENSMUSP00000099770 9606.ENSP00000263817
10090.ENSMUSP00000099779 9606.ENSP00000243344
10090.ENSMUSP00000109313 9606.ENSP00000244227
10090.ENSMUSP00000109312 9606.ENSP00000267103
10090.ENSMUSP00000109317 9606.ENSP00000351022
10090.ENSMUSP00000109316 9606.ENSP00000351022
10090.ENSMUSP00000109315 9606.ENSP00000351022
10090.ENSMUSP00000109314 9606.ENSP00000351022
10090.ENSMUSP00000137744 9606.ENSP00000356825
10090.ENSMUSP00000109319 9606.ENSP00000351022
10090.ENSMUSP00000137746 9606.ENSP00000472681
10090.ENSMUSP00000137741 9606.ENSP00000381970
10090.ENSMUSP00000137740 9606.ENSP00000421592
10090.ENSMUSP00000022881 9606.ENSP00000304642
10090.ENSMUSP00000137742 9606.ENSP00000421592
10090.ENSMUSP00000145322 9606.ENSP00000386151
10090.ENSMUSP00000145323 9606.ENSP00000228799
10090.ENSMUSP00000145320 9606.ENSP00000312403
10090.ENSMUSP00000145321 9606.ENSP00000423313
10090.ENSMUSP00000145326 9606.ENSP00000464258
10090.ENSMUSP00000145327 9606.ENSP00000229402
10090.ENSMUSP00000145324 9606.ENSP00000253413
10090.ENSMUSP00000145325 9606.ENSP00000479580
10090.ENSMUSP00000145328 9606.ENSP00000346955
10090.ENSMUSP00000145329 9606.ENSP00000392549 9606.ENSP00000380427
10090.ENSMUSP00000007559 9606.ENSP00000287957
10090.ENSMUSP00000114152 9606.ENSP00000262904
10090.ENSMUSP00000114243 9606.ENSP00000294066
10090.ENSMUSP00000098793 9606.ENSP00000451030
10090.ENSMUSP00000114241 9606.ENSP00000299367
10090.ENSMUSP00000114240 9606.ENSP00000264601
10090.ENSMUSP00000098796 9606.ENSP00000265016
10090.ENSMUSP00000114246 9606.ENSP00000379773
10090.ENSMUSP00000114245 9606.ENSP00000311837
10090.ENSMUSP00000114244 9606.ENSP00000446485
10090.ENSMUSP00000114249 9606.ENSP00000363753
10090.ENSMUSP00000138501 9606.ENSP00000296679
10090.ENSMUSP00000020263 9606.ENSP00000265866
10090.ENSMUSP00000065285 9606.ENSP00000304891
10090.ENSMUSP00000020262 9606.ENSP00000351619
10090.ENSMUSP00000028783 9606.ENSP00000342098
10090.ENSMUSP00000138203 9606.ENSP00000222219
10090.ENSMUSP00000028780 9606.ENSP00000398105
10090.ENSMUSP00000099954 9606.ENSP00000360966
10090.ENSMUSP00000065447 9606.ENSP00000363255
10090.ENSMUSP00000020266 9606.ENSP00000351619
10090.ENSMUSP00000065442 9606.ENSP00000468304
10090.ENSMUSP00000099952 9606.ENSP00000381412
10090.ENSMUSP00000115190 9606.ENSP00000467141
10090.ENSMUSP00000095686 9606.ENSP00000319482
10090.ENSMUSP00000115192 9606.ENSP00000363255
10090.ENSMUSP00000115193 9606.ENSP00000359045
10090.ENSMUSP00000115194 9606.ENSP00000263334
10090.ENSMUSP00000115195 9606.ENSP00000444357
10090.ENSMUSP00000115196 9606.ENSP00000376767
10090.ENSMUSP00000115197 9606.ENSP00000357927
10090.ENSMUSP00000115198 9606.ENSP00000362814
10090.ENSMUSP00000115199 9606.ENSP00000417573
10090.ENSMUSP00000114158 9606.ENSP00000347852
10090.ENSMUSP00000136331 9606.ENSP00000380565
10090.ENSMUSP00000028105 9606.ENSP00000277632
10090.ENSMUSP00000028106 9606.ENSP00000367316
10090.ENSMUSP00000058175 9606.ENSP00000296438
10090.ENSMUSP00000028100 9606.ENSP00000263062
10090.ENSMUSP00000078661 9606.ENSP00000329002
10090.ENSMUSP00000028102 9606.ENSP00000393379
10090.ENSMUSP00000073392 9606.ENSP00000313581 9606.ENSP00000301420 9606.ENSP00000314151
10090.ENSMUSP00000032503 9606.ENSP00000011898
10090.ENSMUSP00000096482 9606.ENSP00000373370
10090.ENSMUSP00000096484 9606.ENSP00000335358
10090.ENSMUSP00000074751 9606.ENSP00000416341
10090.ENSMUSP00000027906 9606.ENSP00000355904
10090.ENSMUSP00000132026 9606.ENSP00000266304
10090.ENSMUSP00000074756 9606.ENSP00000359939
10090.ENSMUSP00000062794 9606.ENSP00000352097
10090.ENSMUSP00000074758 9606.ENSP00000406022
10090.ENSMUSP00000132349 9606.ENSP00000349893
10090.ENSMUSP00000061401 9606.ENSP00000360381
10090.ENSMUSP00000027908 9606.ENSP00000355900
10090.ENSMUSP00000066238 9606.ENSP00000250559
10090.ENSMUSP00000066239 9606.ENSP00000415139
10090.ENSMUSP00000130210 9606.ENSP00000339958
10090.ENSMUSP00000130216 9606.ENSP00000350170
10090.ENSMUSP00000130214 9606.ENSP00000355689
10090.ENSMUSP00000130215 9606.ENSP00000285083
10090.ENSMUSP00000066232 9606.ENSP00000307004
10090.ENSMUSP00000066235 9606.ENSP00000381895
10090.ENSMUSP00000022269 9606.ENSP00000351632
10090.ENSMUSP00000022268 9606.ENSP00000307241
10090.ENSMUSP00000138204 9606.ENSP00000386346
10090.ENSMUSP00000092303 9606.ENSP00000421752 9606.ENSP00000349708
10090.ENSMUSP00000092302 9606.ENSP00000362435
10090.ENSMUSP00000092305 9606.ENSP00000382670
10090.ENSMUSP00000022264 9606.ENSP00000418112
10090.ENSMUSP00000143867 9606.ENSP00000370882
10090.ENSMUSP00000143866 9606.ENSP00000345206
10090.ENSMUSP00000143865 9606.ENSP00000389600
10090.ENSMUSP00000143863 9606.ENSP00000369840
10090.ENSMUSP00000143862 9606.ENSP00000323511
10090.ENSMUSP00000143861 9606.ENSP00000416255
10090.ENSMUSP00000143860 9606.ENSP00000347648
10090.ENSMUSP00000143869 9606.ENSP00000370882
10090.ENSMUSP00000023805 9606.ENSP00000267085
10090.ENSMUSP00000118185 9606.ENSP00000340648
10090.ENSMUSP00000104538 9606.ENSP00000346534
10090.ENSMUSP00000104539 9606.ENSP00000484928
10090.ENSMUSP00000112979 9606.ENSP00000343490
10090.ENSMUSP00000112978 9606.ENSP00000366221
10090.ENSMUSP00000112977 9606.ENSP00000315017
10090.ENSMUSP00000112976 9606.ENSP00000358886
10090.ENSMUSP00000112975 9606.ENSP00000362298
10090.ENSMUSP00000104537 9606.ENSP00000346534
10090.ENSMUSP00000112973 9606.ENSP00000322991
10090.ENSMUSP00000112972 9606.ENSP00000280606
10090.ENSMUSP00000104532 9606.ENSP00000415140 9606.ENSP00000368566
10090.ENSMUSP00000112970 9606.ENSP00000278025
10090.ENSMUSP00000069915 9606.ENSP00000230321
10090.ENSMUSP00000138206 9606.ENSP00000379804
10090.ENSMUSP00000114364 9606.ENSP00000350719
10090.ENSMUSP00000077220 9606.ENSP00000318997
10090.ENSMUSP00000077226 9606.ENSP00000243189
10090.ENSMUSP00000110577 9606.ENSP00000443926
10090.ENSMUSP00000108199 9606.ENSP00000487073 9606.ENSP00000229307
10090.ENSMUSP00000108193 9606.ENSP00000417303
10090.ENSMUSP00000108190 9606.ENSP00000345837
10090.ENSMUSP00000108196 9606.ENSP00000374409
10090.ENSMUSP00000067324 9606.ENSP00000463762
10090.ENSMUSP00000108195 9606.ENSP00000380855
10090.ENSMUSP00000075579 9606.ENSP00000261609
10090.ENSMUSP00000129280 9606.ENSP00000389255
10090.ENSMUSP00000104522 9606.ENSP00000426948 9606.ENSP00000296859
10090.ENSMUSP00000075573 9606.ENSP00000380982
10090.ENSMUSP00000027012 9606.ENSP00000376849
10090.ENSMUSP00000051960 9606.ENSP00000334415
10090.ENSMUSP00000094225 9606.ENSP00000274255
10090.ENSMUSP00000075577 9606.ENSP00000428137
10090.ENSMUSP00000027015 9606.ENSP00000433138
10090.ENSMUSP00000051965 9606.ENSP00000253861
10090.ENSMUSP00000114852 9606.ENSP00000420686
10090.ENSMUSP00000066496 9606.ENSP00000349930
10090.ENSMUSP00000066492 9606.ENSP00000352400
10090.ENSMUSP00000066493 9606.ENSP00000338389
10090.ENSMUSP00000102266 9606.ENSP00000358884
10090.ENSMUSP00000135156 9606.ENSP00000363023
10090.ENSMUSP00000102264 9606.ENSP00000433146
10090.ENSMUSP00000102265 9606.ENSP00000358884
10090.ENSMUSP00000102262 9606.ENSP00000360718
10090.ENSMUSP00000115205 9606.ENSP00000334122
10090.ENSMUSP00000132028 9606.ENSP00000379566
10090.ENSMUSP00000096945 9606.ENSP00000333275
10090.ENSMUSP00000115206 9606.ENSP00000382428
10090.ENSMUSP00000102268 9606.ENSP00000287727
10090.ENSMUSP00000102269 9606.ENSP00000287727
10090.ENSMUSP00000114367 9606.ENSP00000318429
10090.ENSMUSP00000135155 9606.ENSP00000222574
10090.ENSMUSP00000078547 9606.ENSP00000341564
10090.ENSMUSP00000067541 9606.ENSP00000354458
10090.ENSMUSP00000135152 9606.ENSP00000385903
10090.ENSMUSP00000063042 9606.ENSP00000347748
10090.ENSMUSP00000080133 9606.ENSP00000313581 9606.ENSP00000301420 9606.ENSP00000314151
10090.ENSMUSP00000057864 9606.ENSP00000320893
10090.ENSMUSP00000115202 9606.ENSP00000372191
10090.ENSMUSP00000112651 9606.ENSP00000316891
10090.ENSMUSP00000056464 9606.ENSP00000454919
10090.ENSMUSP00000135151 9606.ENSP00000318258
10090.ENSMUSP00000056461 9606.ENSP00000295095
10090.ENSMUSP00000047333 9606.ENSP00000323670
10090.ENSMUSP00000114361 9606.ENSP00000234590
10090.ENSMUSP00000115209 9606.ENSP00000442464
10090.ENSMUSP00000107377 9606.ENSP00000398273
10090.ENSMUSP00000091769 9606.ENSP00000267984
10090.ENSMUSP00000072894 9606.ENSP00000267460
10090.ENSMUSP00000107371 9606.ENSP00000443459
10090.ENSMUSP00000107370 9606.ENSP00000348381
10090.ENSMUSP00000140483 9606.ENSP00000406861
10090.ENSMUSP00000036382 9606.ENSP00000291634
10090.ENSMUSP00000107379 9606.ENSP00000228841
10090.ENSMUSP00000107378 9606.ENSP00000398273
10090.ENSMUSP00000117459 9606.ENSP00000466111
10090.ENSMUSP00000117458 9606.ENSP00000325091
10090.ENSMUSP00000117457 9606.ENSP00000277632
10090.ENSMUSP00000117456 9606.ENSP00000351697
10090.ENSMUSP00000117455 9606.ENSP00000479636
10090.ENSMUSP00000117454 9606.ENSP00000381231 9606.ENSP00000381234
10090.ENSMUSP00000117453 9606.ENSP00000466542
10090.ENSMUSP00000117452 9606.ENSP00000303211
10090.ENSMUSP00000117451 9606.ENSP00000286063
10090.ENSMUSP00000117450 9606.ENSP00000278243
10090.ENSMUSP00000116241 9606.ENSP00000332513
10090.ENSMUSP00000105281 9606.ENSP00000381793
10090.ENSMUSP00000105280 9606.ENSP00000381793
10090.ENSMUSP00000105282 9606.ENSP00000455426
10090.ENSMUSP00000105286 9606.ENSP00000403644
10090.ENSMUSP00000130170 9606.ENSP00000449960
10090.ENSMUSP00000106394 9606.ENSP00000371805
10090.ENSMUSP00000081664 9606.ENSP00000005284
10090.ENSMUSP00000064897 9606.ENSP00000317404
10090.ENSMUSP00000064892 9606.ENSP00000349856
10090.ENSMUSP00000064893 9606.ENSP00000263245
10090.ENSMUSP00000102482 9606.ENSP00000302724
10090.ENSMUSP00000102480 9606.ENSP00000336655
10090.ENSMUSP00000102481 9606.ENSP00000360065
10090.ENSMUSP00000093945 9606.ENSP00000449089
10090.ENSMUSP00000102488 9606.ENSP00000259006
10090.ENSMUSP00000116246 9606.ENSP00000386452
10090.ENSMUSP00000068745 9606.ENSP00000363023
10090.ENSMUSP00000104884 9606.ENSP00000429824
10090.ENSMUSP00000104885 9606.ENSP00000420095
10090.ENSMUSP00000104883 9606.ENSP00000429824
10090.ENSMUSP00000104889 9606.ENSP00000420095
10090.ENSMUSP00000113480 9606.ENSP00000379808
10090.ENSMUSP00000113481 9606.ENSP00000252032
10090.ENSMUSP00000113482 9606.ENSP00000422533
10090.ENSMUSP00000113483 9606.ENSP00000382595
10090.ENSMUSP00000113484 9606.ENSP00000372005
10090.ENSMUSP00000113485 9606.ENSP00000423366
10090.ENSMUSP00000113486 9606.ENSP00000332433
10090.ENSMUSP00000113487 9606.ENSP00000454268
10090.ENSMUSP00000113488 9606.ENSP00000345502
10090.ENSMUSP00000113489 9606.ENSP00000286353
10090.ENSMUSP00000017184 9606.ENSP00000484343
10090.ENSMUSP00000106024 9606.ENSP00000261842
10090.ENSMUSP00000120569 9606.ENSP00000410759
10090.ENSMUSP00000116508 9606.ENSP00000349142
10090.ENSMUSP00000116509 9606.ENSP00000385808
10090.ENSMUSP00000127368 9606.ENSP00000369853
10090.ENSMUSP00000106023 9606.ENSP00000261842
10090.ENSMUSP00000116502 9606.ENSP00000242480
10090.ENSMUSP00000116503 9606.ENSP00000377275
10090.ENSMUSP00000116500 9606.ENSP00000368190
10090.ENSMUSP00000116501 9606.ENSP00000253382
10090.ENSMUSP00000116506 9606.ENSP00000308496
10090.ENSMUSP00000116507 9606.ENSP00000265038
10090.ENSMUSP00000116505 9606.ENSP00000344666
10090.ENSMUSP00000127770 9606.ENSP00000384766 9606.ENSP00000385443
10090.ENSMUSP00000127773 9606.ENSP00000361173
10090.ENSMUSP00000127772 9606.ENSP00000358474
10090.ENSMUSP00000068298 9606.ENSP00000419422
10090.ENSMUSP00000052395 9606.ENSP00000309565 9606.ENSP00000485401
10090.ENSMUSP00000127777 9606.ENSP00000233840
10090.ENSMUSP00000127779 9606.ENSP00000399136
10090.ENSMUSP00000127778 9606.ENSP00000377043
10090.ENSMUSP00000124949 9606.ENSP00000256261
10090.ENSMUSP00000050703 9606.ENSP00000342026
10090.ENSMUSP00000108243 9606.ENSP00000280701
10090.ENSMUSP00000118078 9606.ENSP00000380713
10090.ENSMUSP00000118079 9606.ENSP00000388620
10090.ENSMUSP00000096811 9606.ENSP00000371847
10090.ENSMUSP00000120921 9606.ENSP00000321005
10090.ENSMUSP00000120920 9606.ENSP00000314129
10090.ENSMUSP00000120923 9606.ENSP00000295757
10090.ENSMUSP00000118073 9606.ENSP00000381098
10090.ENSMUSP00000120925 9606.ENSP00000417677
10090.ENSMUSP00000120924 9606.ENSP00000368109
10090.ENSMUSP00000118076 9606.ENSP00000485357
10090.ENSMUSP00000120926 9606.ENSP00000216027
10090.ENSMUSP00000020379 9606.ENSP00000262965
10090.ENSMUSP00000020378 9606.ENSP00000332413
10090.ENSMUSP00000020372 9606.ENSP00000468614 9606.ENSP00000467262
10090.ENSMUSP00000090089 9606.ENSP00000280772
10090.ENSMUSP00000020377 9606.ENSP00000262965
10090.ENSMUSP00000020375 9606.ENSP00000454833
10090.ENSMUSP00000020374 9606.ENSP00000229195
10090.ENSMUSP00000061580 9606.ENSP00000308270
10090.ENSMUSP00000087544 9606.ENSP00000331313
10090.ENSMUSP00000114908 9606.ENSP00000290524
10090.ENSMUSP00000048680 9606.ENSP00000366402
10090.ENSMUSP00000110689 9606.ENSP00000350032
10090.ENSMUSP00000110688 9606.ENSP00000376565
10090.ENSMUSP00000114904 9606.ENSP00000291582
10090.ENSMUSP00000114905 9606.ENSP00000396198
10090.ENSMUSP00000110685 9606.ENSP00000376565
10090.ENSMUSP00000114907 9606.ENSP00000301178
10090.ENSMUSP00000114900 9606.ENSP00000468956
10090.ENSMUSP00000114901 9606.ENSP00000485589 9606.ENSP00000454229
10090.ENSMUSP00000114902 9606.ENSP00000444957 9606.ENSP00000486790
10090.ENSMUSP00000110680 9606.ENSP00000296181
10090.ENSMUSP00000122206 9606.ENSP00000342938 9606.ENSP00000429397
10090.ENSMUSP00000122204 9606.ENSP00000355771
10090.ENSMUSP00000122205 9606.ENSP00000369614
10090.ENSMUSP00000122202 9606.ENSP00000357345
10090.ENSMUSP00000122203 9606.ENSP00000365200
10090.ENSMUSP00000122200 9606.ENSP00000343819
10090.ENSMUSP00000122201 9606.ENSP00000427128
10090.ENSMUSP00000122208 9606.ENSP00000443410
10090.ENSMUSP00000122209 9606.ENSP00000482954
10090.ENSMUSP00000120693 9606.ENSP00000415140 9606.ENSP00000368566
10090.ENSMUSP00000120691 9606.ENSP00000347834
10090.ENSMUSP00000120690 9606.ENSP00000375711
10090.ENSMUSP00000120697 9606.ENSP00000325402
10090.ENSMUSP00000120696 9606.ENSP00000332287
10090.ENSMUSP00000059708 9606.ENSP00000340125
10090.ENSMUSP00000059709 9606.ENSP00000331479
10090.ENSMUSP00000059705 9606.ENSP00000386069
10090.ENSMUSP00000061370 9606.ENSP00000450749
10090.ENSMUSP00000065850 9606.ENSP00000375857
10090.ENSMUSP00000065852 9606.ENSP00000438293 9606.ENSP00000349085 9606.ENSP00000347358 9606.ENSP00000333487 9606.ENSP00000243314 9606.ENSP00000480637 9606.ENSP00000471017 9606.ENSP00000377478 9606.ENSP00000485541 9606.ENSP00000353379 9606.ENSP00000473093
10090.ENSMUSP00000069165 9606.ENSP00000413445
10090.ENSMUSP00000065858 9606.ENSP00000261530
10090.ENSMUSP00000069167 9606.ENSP00000299732
10090.ENSMUSP00000069161 9606.ENSP00000422431
10090.ENSMUSP00000045562 9606.ENSP00000309338
10090.ENSMUSP00000044561 9606.ENSP00000377616 9606.ENSP00000463483
10090.ENSMUSP00000134078 9606.ENSP00000259253
10090.ENSMUSP00000134079 9606.ENSP00000454783
10090.ENSMUSP00000048024 9606.ENSP00000367705
10090.ENSMUSP00000134072 9606.ENSP00000364945
10090.ENSMUSP00000134073 9606.ENSP00000475702 9606.ENSP00000372910
10090.ENSMUSP00000134070 9606.ENSP00000458162
10090.ENSMUSP00000134071 9606.ENSP00000358635
10090.ENSMUSP00000134076 9606.ENSP00000345055
10090.ENSMUSP00000134077 9606.ENSP00000387170
10090.ENSMUSP00000134074 9606.ENSP00000188790
10090.ENSMUSP00000134075 9606.ENSP00000259365
10090.ENSMUSP00000051158 9606.ENSP00000321684
10090.ENSMUSP00000080706 9606.ENSP00000473493
10090.ENSMUSP00000051151 9606.ENSP00000320318
10090.ENSMUSP00000119309 9606.ENSP00000294360
10090.ENSMUSP00000119308 9606.ENSP00000261234
10090.ENSMUSP00000055869 9606.ENSP00000363643
10090.ENSMUSP00000119301 9606.ENSP00000343023
10090.ENSMUSP00000055862 9606.ENSP00000298316
10090.ENSMUSP00000119303 9606.ENSP00000451300
10090.ENSMUSP00000119302 9606.ENSP00000449428
10090.ENSMUSP00000119305 9606.ENSP00000323714
10090.ENSMUSP00000119304 9606.ENSP00000307833
10090.ENSMUSP00000119307 9606.ENSP00000324302
10090.ENSMUSP00000119306 9606.ENSP00000372482
10090.ENSMUSP00000093720 9606.ENSP00000265260
10090.ENSMUSP00000041308 9606.ENSP00000379773
10090.ENSMUSP00000041307 9606.ENSP00000370395
10090.ENSMUSP00000041306 9606.ENSP00000479089
10090.ENSMUSP00000053426 9606.ENSP00000417207
10090.ENSMUSP00000053420 9606.ENSP00000409544
10090.ENSMUSP00000041300 9606.ENSP00000430985
10090.ENSMUSP00000009727 9606.ENSP00000332287
10090.ENSMUSP00000110392 9606.ENSP00000233154
10090.ENSMUSP00000009728 9606.ENSP00000332287
10090.ENSMUSP00000124338 9606.ENSP00000333836
10090.ENSMUSP00000124339 9606.ENSP00000363921
10090.ENSMUSP00000016631 9606.ENSP00000314724
10090.ENSMUSP00000116885 9606.ENSP00000216416
10090.ENSMUSP00000124330 9606.ENSP00000354583
10090.ENSMUSP00000129523 9606.ENSP00000369695
10090.ENSMUSP00000016639 9606.ENSP00000223864
10090.ENSMUSP00000016638 9606.ENSP00000310036
10090.ENSMUSP00000124334 9606.ENSP00000302037
10090.ENSMUSP00000124335 9606.ENSP00000259895
10090.ENSMUSP00000140036 9606.ENSP00000262518 9606.ENSP00000369719
10090.ENSMUSP00000124337 9606.ENSP00000309429
10090.ENSMUSP00000110398 9606.ENSP00000324806
10090.ENSMUSP00000095890 9606.ENSP00000485473 9606.ENSP00000484237 9606.ENSP00000365360 9606.ENSP00000480027 9606.ENSP00000349931 9606.ENSP00000240189 9606.ENSP00000485656 9606.ENSP00000365322 9606.ENSP00000480122 9606.ENSP00000332134 9606.ENSP00000346275 9606.ENSP00000478309 9606.ENSP00000235347 9606.ENSP00000393136 9606.ENSP00000350358 9606.ENSP00000365266 9606.ENSP00000485258 9606.ENSP00000235349 9606.ENSP00000365269 9606.ENSP00000334410
10090.ENSMUSP00000138177 9606.ENSP00000365817
10090.ENSMUSP00000018577 9606.ENSP00000253247
10090.ENSMUSP00000138175 9606.ENSP00000253925
10090.ENSMUSP00000138174 9606.ENSP00000376703
10090.ENSMUSP00000018572 9606.ENSP00000478212
10090.ENSMUSP00000138172 9606.ENSP00000266022
10090.ENSMUSP00000138171 9606.ENSP00000222345
10090.ENSMUSP00000138170 9606.ENSP00000421377
10090.ENSMUSP00000123641 9606.ENSP00000359172
10090.ENSMUSP00000123643 9606.ENSP00000318986
10090.ENSMUSP00000128690 9606.ENSP00000350552
10090.ENSMUSP00000123645 9606.ENSP00000486197
10090.ENSMUSP00000123644 9606.ENSP00000212355
10090.ENSMUSP00000123647 9606.ENSP00000363068
10090.ENSMUSP00000128694 9606.ENSP00000392318
10090.ENSMUSP00000140038 9606.ENSP00000264279
10090.ENSMUSP00000130984 9606.ENSP00000278198
10090.ENSMUSP00000045217 9606.ENSP00000373952
10090.ENSMUSP00000045216 9606.ENSP00000441065
10090.ENSMUSP00000045218 9606.ENSP00000331698
10090.ENSMUSP00000020826 9606.ENSP00000297109
10090.ENSMUSP00000130985 9606.ENSP00000467290
10090.ENSMUSP00000119657 9606.ENSP00000380948
10090.ENSMUSP00000046544 9606.ENSP00000383212
10090.ENSMUSP00000046546 9606.ENSP00000477846 9606.ENSP00000341051 9606.ENSP00000484176
10090.ENSMUSP00000046540 9606.ENSP00000264883
10090.ENSMUSP00000036861 9606.ENSP00000384996 9606.ENSP00000401535
10090.ENSMUSP00000130281 9606.ENSP00000404854
10090.ENSMUSP00000071641 9606.ENSP00000310488
10090.ENSMUSP00000128348 9606.ENSP00000301454
10090.ENSMUSP00000071643 9606.ENSP00000315410
10090.ENSMUSP00000128345 9606.ENSP00000226574
10090.ENSMUSP00000128341 9606.ENSP00000413572
10090.ENSMUSP00000128340 9606.ENSP00000256190
